fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
51023,164.73,283.2,1002.18,TRUE,TRUE,FALSE
51031,121,44.19,681.81,TRUE,FALSE,FALSE
51041,216.57,143.14,1194.43,TRUE,TRUE,TRUE
51053,154.62,138.52,1020.78,TRUE,TRUE,TRUE
51059,218.96,28.33,2512.26,FALSE,TRUE,TRUE
51061,277.48,97.76,1874.72,TRUE,TRUE,TRUE
51065,108.12,99.82,1094.87,TRUE,FALSE,FALSE
51067,112.22,87.14,927.38,TRUE,TRUE,FALSE
51069,149.95,57.7,1158.07,TRUE,FALSE,FALSE
51073,143.77,218.79,1037.41,TRUE,FALSE,FALSE
51085,257.74,116.93,1380.16,TRUE,TRUE,TRUE
51087,238.37,60.99,1210.76,TRUE,TRUE,TRUE
51093,177.07,61.99,1248.46,TRUE,FALSE,FALSE
51095,188.42,130.74,1708.66,TRUE,FALSE,FALSE
51107,243.69,37.25,2549.14,FALSE,TRUE,TRUE
51109,171.98,90.25,1528.7,TRUE,TRUE,TRUE
51121,247.42,70.71,901.41,TRUE,FALSE,FALSE
51143,118.74,79.82,534.47,TRUE,FALSE,FALSE
51145,159.05,127.27,1357.11,TRUE,TRUE,TRUE
